id,task_category,comments_category,comment_problem,comment_verb,comment_obj,aesthetics_rating,usability_rating,design_quality_rating,learnability,efficency
1006,User account management,Text Readability,current button size,increase,current button size,6,6,6,3.0,3
1007,Media and content interaction,Layout,positioning use design software to ensure alignment,reintegrate,breakfast icon,4,4,4,2.0,2
1008,Media and content interaction,Layout,purpose and function,arrange,legible font be easy to read,5,7,6,4.0,3
1009,Media and content interaction,Text Readability,ranking text,increase,font size & weight,7,6,7,3.0,3
1010,Media and content interaction,Layout,button or icon allow user to see current location,add,button or icon allow user to see current location,6,6,6,3.0,3
1013,Exploration and Navigation,Layout,breakfast icon,remove,breakfast icon,7,7,7,4.0,3
1014,Exploration and Navigation,Text Readability,ranking text,uniform font style to be use consistently,current button size,5,5,5,3.0,2
1016,Media and content interaction,Color Contrast,button or icon allow user to see current location,add,button or icon allow user to see current location,6,6,6,3.0,3
1020,Location and Travel,Learnability,breakfast icon,replace,breakfast icon,3,4,4,2.0,2
1021,Location and Travel,Layout,more readable font,choose,more readable font,4,4,4,4.0,4
1022,Exploration and Navigation,Layout,ranking text,increase,current button size,6,6,6,3.0,3
1023,Exploration and Navigation,Layout,button or icon allow user to see current location,add,button or icon allow user to see current location,5,5,5,3.0,2
1024,Exploration and Navigation,Layout,purpose and function,align,purpose and function,4,4,4,2.0,2
1027,Media and content interaction,Text Readability,ranking text,increase,current button size,6,6,6,3.0,3
1028,Media and content interaction,Usability of Buttons,send OTP button,increase,separate background,6,6,6,3.0,3
1029,Media and content interaction,Text Readability,current button size,increase,current button size,5,4,5,2.0,2
1030,Customization of app settings and preferences,Layout,button or icon allow user to see current location,increase,separate background,4,4,4,2.0,2
1031,Customization of app settings and preferences,Usability of Buttons,clickable area,add,check box size,6,5,6,2.0,3
1033,User account management,Layout,login and logo,center,login and logo,7,7,7,3.0,4
1034,User account management,Layout,elog,increase,current button size,6,6,6,3.0,3
1037,Accessing and managing information,Usability of Buttons,cancel button,emphasize,cancel button,5,5,5,3.0,2
1038,Accessing and managing information,Layout,ranking text,increase,current button size,5,5,5,2.0,3
1039,Accessing and managing information,Text Readability,ranking text,increase,current button size,6,6,6,3.0,3
1040,Accessing and managing information,Layout,text 's small size and low color contrast,increase,current button size,4,4,4,2.0,2
1041,Accessing and managing information,Text Readability,ranking text,increase,ranking text,8,8,8,4.0,4
1042,Exploration and Navigation,Layout,ranking text,change,text color contrast,6,6,6,3.0,3
1044,Exploration and Navigation,Usability of Buttons,uniform font style to be use consistently,replace,breakfast icon,6,6,6,3.0,3
1049,Customization of app settings and preferences,Learnability,breakfast icon,update,breakfast icon,6,6,6,3.0,3
1050,Customization of app settings and preferences,Color Contrast,breakfast icon,update,breakfast icon,6,6,5,3.0,3
1052,Customization of app settings and preferences,Layout,item load but lack proper visual-blank image,adjust,systematic arrangement,6,6,6,3.0,3
1054,Customization of app settings and preferences,Layout,ranking text,increase,current button size,5,4,5,2.0,2
1057,Exploration and Navigation,Color Contrast,current button size,increase,current button size,5,4,5,2.0,2
1059,Exploration and Navigation,Text Readability,heading,uniform font style to be use consistently,"more common language , such",6,6,6,4.0,4
1060,Customization of app settings and preferences,Text Readability,ranking text,increase,current button size,6,6,6,3.0,3
1062,Customization of app settings and preferences,Text Readability,length,move,length,7,7,7,3.0,4
1063,Media and content interaction,Layout,ranking text,increase,current button size,6,6,6,3.0,3
1066,Accessing and managing information,Text Readability,button or icon allow user to see current location,increase,current button size,5,4,5,2.0,2
1072,Location and Travel,Layout,current lack,improve,legibility,5,5,5,2.0,3
1073,Location and Travel,Text Readability,ranking text,increase,ranking text,5,5,5,3.0,2
1074,Location and Travel,Layout,two label,increase,current button size,5,6,6,3.0,3
1075,User account management,Text Readability,ranking text,increase,current button size,6,6,6,3.0,3
1076,User account management,Text Readability,current button size,increase,current button size,6,6,6,3.0,3
1077,User account management,Text Readability,more readable font,increase,current button size,8,8,8,4.0,4
1078,Exploration and Navigation,Layout,clear right edge,add,consistent margin,7,7,7,4.0,3
1079,Exploration and Navigation,Layout,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,6,6,3.0,3
1081,Exploration and Navigation,Layout,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,6,6,3.0,3
1082,Exploration and Navigation,Text Readability,current button size,increase,current button size,6,6,6,3.0,3
1085,Media and content interaction,Layout,positioning use design software to ensure alignment,prioritize,right arrow key,4,4,4,2.0,2
1086,Media and content interaction,Color Contrast,separate background,choose,positioning use design software to ensure alignment,5,4,5,2.0,2
1088,Media and content interaction,Layout,heart icon and other 3 white icon,give,similar graphic treatment,4,5,5,2.0,3
1089,Media and content interaction,Layout,systematic arrangement,be,systematic arrangement,4,4,4,4.0,4
1090,Location and Travel,Text Readability,ranking text,change,text color contrast,6,6,6,3.0,3
1091,Location and Travel,Color Contrast,purpose and function,add,section border,4,4,4,2.0,2
1094,Accessing and managing information,Color Contrast,breakfast icon,adjust,color weight,6,6,6,3.0,3
1096,Exploration and Navigation,Text Readability,ranking text,increase,current button size,6,6,6,3.0,3
1097,Exploration and Navigation,Layout,purpose and function,move,ranking text,5,8,7,4.0,4
1099,Media and content interaction,Usability of Buttons,ranking text,increase,current button size,6,6,6,3.0,3
1100,Media and content interaction,Layout,purpose and function,add,section border,4,4,4,2.0,2
1101,Media and content interaction,Text Readability,ranking text,increase,current button size,5,5,5,3.0,3
1103,User account management,Text Readability,current button size,increase,current button size,6,5,6,2.0,3
1104,User account management,Learnability,uniform font style to be use consistently,uniform font style to be use consistently,clear layout and intuitive navigation,7,7,7,4.0,3
1106,Exploration and Navigation,Text Readability,ranking text,increase,current button size,6,5,6,2.0,3
1108,Customization of app settings and preferences,Color Contrast,current button size,increase,current button size,8,8,8,4.0,4
1109,Customization of app settings and preferences,Text Readability,essential content,improve,positioning use design software to ensure alignment,5,5,5,3.0,2
1111,Customization of app settings and preferences,Layout,ranking text,increase,current button size,6,6,6,3.0,3
1114,Location and Travel,Text Readability,button or icon allow user to see current location,add,button or icon allow user to see current location,5,5,5,3.0,2
1116,Location and Travel,Text Readability,ranking text,increase,current button size,6,6,6,3.0,3
1117,User account management,Usability of Buttons,ranking text,increase,ranking text,6,6,6,3.0,3
1119,User account management,Layout,button or icon allow user to see current location,button place,? icon,4,4,4,4.0,4
1121,Media and content interaction,Layout,absence,reintegrate,breakfast icon,6,6,6,3.0,3
1122,Media and content interaction,Layout,ranking text,increase,current button size,5,4,5,2.0,2
1123,Customization of app settings and preferences,Color Contrast,highlighted section,enrich,highlighted section,6,6,6,3.0,3
1126,Accessing and managing information,Color Contrast,missing height value,specify,missing height value,7,7,7,4.0,3
1127,Accessing and managing information,Usability of Buttons,two label,change,text color contrast,7,8,7,4.0,4
1128,Accessing and managing information,Text Readability,current button size,increase,separate background,5,5,5,3.0,3
1129,Location and Travel,Text Readability,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,6,6,3.0,3
1130,Location and Travel,Layout,lot,arrange,login and logo,4,6,5,3.0,3
1131,Location and Travel,Text Readability,current button size,increase,current button size,6,6,6,3.0,3
1132,User account management,Text Readability,absence,add,button or icon allow user to see current location,5,5,5,3.0,2
1133,User account management,Color Contrast,current button size,change,text color contrast,7,8,7,4.0,4
1135,Exploration and Navigation,Color Contrast,ranking text,be,ranking text,7,7,7,4.0,3
1136,Exploration and Navigation,Color Contrast,positioning use design software to ensure alignment,reintegrate,breakfast icon,4,4,4,2.0,2
1137,Exploration and Navigation,Usability of Buttons,button or icon allow user to see current location,remove,black circle,5,8,7,4.0,4
1138,Customization of app settings and preferences,Text Readability,ranking text,increase,current button size,8,8,8,4.0,4
