id,comment1_problem,comment1_solution_verb,comment1_solution_obj,comment2_problem,comment2_solution_verb,comment2_solution_obj,comment3_problem,comment3_solution_verb,comment3_solution_obj,comment4_problem,comment4_solution_verb,comment4_solution_obj,comment5_problem,comment5_solution_verb,comment5_solution_obj,comment6_problem,comment6_solution_verb,comment6_solution_obj,comment7_problem,comment7_solution_verb,comment7_solution_obj
422,uniform font style to be use consistently,thorough redesign,setting page,ranking text,increase,current button size,unknown,reduce,space element,ranking text,increase,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
423,unnecessarily large font,reduce,space element,unknown,unknown,unknown,purpose and function,separation,purpose and function,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
424,hamburger Menu,remove,hamburger Menu,purpose and function,try,space element,unknown,increase,current button size,ranking text,increase,current button size,unknown,remove,purpose and function,unknown,unknown,unknown,unknown,unknown,unknown
425,unknown,add,clear and well-label button,unknown,consider,unknown,related content item,group,related content item,positioning use design software to ensure alignment,make,positioning use design software to ensure alignment,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
426,positioning use design software to ensure alignment,add,two label,login and logo,consider,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
427,login and logo,increase,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
428,ranking text,increase,current button size,current button size,increase,current button size,unknown,try,unknown,setting page,thorough redesign,setting page,designer,replace,word dictionary,unknown,unknown,unknown,unknown,unknown,unknown
429,unknown,ensure,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
430,breakfast icon,consider,unknown,data usage control,uniform font style to be use consistently,data usage control,section border,uniform font style to be use consistently,section border,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
431,placeholder image or alternative visual content,have,placeholder image or alternative visual content,unknown,consider,unknown,unknown,change,Pics,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
432,unknown,replace,purpose and function,button or icon allow user to see current location,increase,separate background,breakfast icon,consider,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
433,unknown,make,unknown,unknown,unknown,unknown,location tab,remove,location tab,ranking text,make,unknown,purpose and function,move,List / Grid,unknown,unknown,unknown,unknown,unknown,unknown
434,ranking text,increase,current button size,ranking text,change,text color contrast,unknown,try,unknown,unknown,thorough redesign,unknown,unknown,add,button or icon allow user to see current location,placeholder image or alternative visual content,uniform font style to be use consistently,placeholder image or alternative visual content,unknown,unknown,unknown
435,positioning use design software to ensure alignment,declutter,positioning use design software to ensure alignment,prominently position back button,give,similar graphic treatment,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
436,purpose and function,increase,separation line,purpose and function,adjust,"more common language , such",placeholder image or alternative visual content,uniform font style to be use consistently,placeholder image or alternative visual content,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
437,two label,improve,readability and information flow,two label,make,ranking text,positioning use design software to ensure alignment,uniform font style to be use consistently,positioning use design software to ensure alignment,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
438,login and logo,enlarge,login and logo,breakfast icon,enlarge,breakfast icon,button or icon allow user to see current location,adjust,text color contrast,facebook app,consider,unknown,text color contrast,uniform font style to be use consistently,text color contrast,button or icon allow user to see current location,make,designer,unknown,unknown,unknown
439,text and title,increase,current button size,breakfast icon,change,breakfast icon,ranking text,increase,current button size,current button size,increase,current button size,breakfast icon,change,similar graphic treatment,more readable font,uniform font style to be use consistently,current button size,button or icon allow user to see current location,make,designer
440,ranking text,increase,current button size,ranking text,change,text color contrast,unknown,add,button or icon allow user to see current location,unknown,add,button or icon allow user to see current location,unknown,add,setting bar,unknown,remove,advertisement,purpose and function,thorough redesign,ui
441,advertisement,add,clear close icon,ranking text,increase,current button size,positioning use design software to ensure alignment,reintegrate,button or icon allow user to see current location,ranking text,increase,ranking text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
442,ranking text,change,text color contrast,setting bar,choose,setting bar,unknown,unknown,unknown,ranking text,increase,ranking text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
443,ranking text,increase,current button size,ranking text,change,text color contrast,unknown,try,unknown,unknown,unknown,unknown,text color contrast,uniform font style to be use consistently,text color contrast,ranking text,uniform font style to be use consistently,current button size,unknown,unknown,unknown
444,ranking text,increase,color weight,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
445,ranking text,increase,current button size,ranking text,uniform font style to be use consistently,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
446,ranking text,choose,legible font be easy to read,positioning use design software to ensure alignment,add,button or icon allow user to see current location,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
447,uniform font style to be use consistently,change,text color contrast,more readable font,change,more readable font,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
448,purpose and function,choose,positioning use design software to ensure alignment,information,make,information,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
449,prominently position back button,revise,positioning use design software to ensure alignment,current login form,have,clear label,current login form,uniform font style to be use consistently,two label,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
450,positioning use design software to ensure alignment,reintegrate,breakfast icon,purpose and function,unknown,unknown,unknown,reintegrate,cancel button,clear and functional checkbox,add,scroll bar or way for user to navigate,standard drop,consider,unknown,same font size / type / color weight,reintegrate,same font size / type / color weight,unknown,unknown,unknown
451,text color contrast,adjust,text color contrast,age section,consider,unknown,text color contrast,uniform font style to be use consistently,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
452,absence,reintegrate,appropriate icon clearly represent function,unknown,be,placeholder image or alternative visual content,current lack,reintegrate,text color contrast,absence,reintegrate,miss checkbox icon,brown button,adjust,text color contrast,appropriate icon clearly represent function,improve,appropriate icon clearly represent function,unknown,unknown,unknown
